ProteinId:ID(Protein),EntryName,FullName,:LABEL
P01011,AACT_HUMAN,Alpha-1-antichymotrypsin,Protein
P05067,A4_HUMAN,Amyloid-beta precursor protein,Protein
Q2M2I8,AAK1_HUMAN,AP2-associated protein kinase 1,Protein
Q6PD74,AAGAB_HUMAN,Alpha- and gamma-adaptin-binding protein p34,Protein
Q9H7C9,AAMDC_HUMAN,Mth938 domain-containing protein,Protein
Q9UGI9,AAKG3_HUMAN,5'-AMP-activated protein kinase subunit gamma-3,Protein
Q4LEZ3,AARD_HUMAN,Alanine and arginine-rich domain-containing protein,Protein
Q13685,AAMP_HUMAN,Angio-associated migratory cell protein,Protein
Q9UDR5,AASS_HUMAN,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",Protein
Q9Y478,AAKB1_HUMAN,5'-AMP-activated protein kinase subunit beta-1,Protein
Q9Y312,AAR2_HUMAN,Protein AAR2 homolog,Protein
P86434,AAS1_HUMAN,Putative uncharacterized protein ADORA2A-AS1,Protein
Q13131,AAPK1_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-1,Protein
Q9BTE6,AASD1_HUMAN,Alanyl-tRNA editing protein Aarsd1,Protein
O43741,AAKB2_HUMAN,5'-AMP-activated protein kinase subunit beta-2,Protein
Q8NHS2,AATC2_HUMAN,"Putative aspartate aminotransferase, cytoplasmic 2",Protein
Q9NY61,AATF_HUMAN,Protein AATF,Protein
P54619,AAKG1_HUMAN,5'-AMP-activated protein kinase subunit gamma-1,Protein
P17174,AATC_HUMAN,"Aspartate aminotransferase, cytoplasmic",Protein
P54646,AAPK2_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-2,Protein
Q9UGJ0,AAKG2_HUMAN,5'-AMP-activated protein kinase subunit gamma-2,Protein
P00505,AATM_HUMAN,"Aspartate aminotransferase, mitochondrial",Protein
Q5VST6,AB17B_HUMAN,Alpha/beta hydrolase domain-containing protein 17B,Protein
Q6PCB6,AB17C_HUMAN,Alpha/beta hydrolase domain-containing protein 17C,Protein
Q7Z5M8,AB12B_HUMAN,Protein ABHD12B,Protein
Q7Z5R6,AB1IP_HUMAN,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,Protein
Q96GS6,AB17A_HUMAN,Alpha/beta hydrolase domain-containing protein 17A,Protein
Q9HC16,ABC3G_HUMAN,DNA dC->dU-editing enzyme APOBEC-3G,Protein
Q8N139,ABCA6_HUMAN,ATP-binding cassette sub-family A member 6,Protein
O75027,ABCB7_HUMAN,"Iron-sulfur clusters transporter ABCB7, mitochondrial",Protein
P31941,ABC3A_HUMAN,DNA dC->dU-editing enzyme APOBEC-3A,Protein
Q9UH17,ABC3B_HUMAN,DNA dC->dU-editing enzyme APOBEC-3B,Protein
Q8IZY2,ABCA7_HUMAN,Phospholipid-transporting ATPase ABCA7,Protein
P33897,ABCD1_HUMAN,ATP-binding cassette sub-family D member 1,Protein
Q9UG63,ABCF2_HUMAN,ATP-binding cassette sub-family F member 2,Protein
O95477,ABCA1_HUMAN,Phospholipid-transporting ATPase ABCA1,Protein
Q2M3G0,ABCB5_HUMAN,ATP-binding cassette sub-family B member 5,Protein
Q9NRW3,ABC3C_HUMAN,DNA dC->dU-editing enzyme APOBEC-3C,Protein
Q9NP78,ABCB9_HUMAN,ABC-type oligopeptide transporter ABCB9,Protein
Q09428,ABCC8_HUMAN,ATP-binding cassette sub-family C member 8,Protein
O94911,ABCA8_HUMAN,ABC-type organic anion transporter ABCA8,Protein
Q9UNQ0,ABCG2_HUMAN,Broad substrate specificity ATP-binding cassette transporter ABCG2,Protein
Q6NTF7,ABC3H_HUMAN,DNA dC->dU-editing enzyme APOBEC-3H,Protein
Q9NUQ8,ABCF3_HUMAN,ATP-binding cassette sub-family F member 3,Protein
Q96AK3,ABC3D_HUMAN,DNA dC->dU-editing enzyme APOBEC-3D,Protein
Q8IUA7,ABCA9_HUMAN,ATP-binding cassette sub-family A member 9,Protein
Q9UBJ2,ABCD2_HUMAN,ATP-binding cassette sub-family D member 2,Protein
Q9NRK6,ABCBA_HUMAN,"ATP-binding cassette sub-family B member 10, mitochondrial",Protein
O60706,ABCC9_HUMAN,ATP-binding cassette sub-family C member 9,Protein
Q9NP58,ABCB6_HUMAN,ATP-binding cassette sub-family B member 6,Protein
Q8WWZ4,ABCAA_HUMAN,ATP-binding cassette sub-family A member 10,Protein
Q9BZC7,ABCA2_HUMAN,ATP-binding cassette sub-family A member 2,Protein
Q8IUX4,ABC3F_HUMAN,DNA dC->dU-editing enzyme APOBEC-3F,Protein
P28288,ABCD3_HUMAN,ATP-binding cassette sub-family D member 3,Protein
Q86UK0,ABCAC_HUMAN,Glucosylceramide transporter ABCA12,Protein
P45844,ABCG1_HUMAN,ATP-binding cassette sub-family G member 1,Protein
Q9H172,ABCG4_HUMAN,ATP-binding cassette sub-family G member 4,Protein
O95342,ABCBB_HUMAN,Bile salt export pump,Protein
Q86UQ4,ABCAD_HUMAN,ATP-binding cassette sub-family A member 13,Protein
O14678,ABCD4_HUMAN,Lysosomal cobalamin transporter ABCD4,Protein
Q99758,ABCA3_HUMAN,Phospholipid-transporting ATPase ABCA3,Protein
Q9H222,ABCG5_HUMAN,ATP-binding cassette sub-family G member 5,Protein
Q8N2K0,ABD12_HUMAN,Lysophosphatidylserine lipase ABHD12,Protein
P61221,ABCE1_HUMAN,ATP-binding cassette sub-family E member 1,Protein
Q8WW27,ABEC4_HUMAN,Putative C->U-editing enzyme APOBEC-4,Protein
P41238,ABEC1_HUMAN,C->U-editing enzyme APOBEC-1,Protein
Q8NE71,ABCF1_HUMAN,ATP-binding cassette sub-family F member 1,Protein
Q0P651,ABD18_HUMAN,Protein ABHD18,Protein
Q96SE0,ABHD1_HUMAN,Protein ABHD1,Protein
Q9H221,ABCG8_HUMAN,ATP-binding cassette sub-family G member 8,Protein
Q9H3Z7,ABHGB_HUMAN,Protein ABHD16B,Protein
Q9BV23,ABHD6_HUMAN,Monoacylglycerol lipase ABHD6,Protein
Q7L211,ABHDD_HUMAN,Protein ABHD13,Protein
Q9Y235,ABEC2_HUMAN,C->U-editing enzyme APOBEC-2,Protein
Q9BUJ0,ABHEA_HUMAN,Protein ABHD14A,Protein
P08910,ABHD2_HUMAN,Monoacylglycerol lipase ABHD2,Protein
Q96I13,ABHD8_HUMAN,Protein ABHD8,Protein
Q6UXT9,ABH15_HUMAN,Protein ABHD15,Protein
Q8IZP0,ABI1_HUMAN,Abl interactor 1,Protein
Q96IU4,ABHEB_HUMAN,Putative protein-lysine deacylase ABHD14B,Protein
Q9NUJ1,ABHDA_HUMAN,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",Protein
Q8WU67,ABHD3_HUMAN,Phospholipase ABHD3,Protein
O14639,ABLM1_HUMAN,Actin-binding LIM protein 1,Protein
O95870,ABHGA_HUMAN,Phosphatidylserine lipase ABHD16A,Protein
Q9NYB9,ABI2_HUMAN,Abl interactor 2,Protein
Q8NFV4,ABHDB_HUMAN,sn-1-specific diacylglycerol lipase ABHD11,Protein
Q9NX38,ABITM_HUMAN,Protein Abitram,Protein
Q8TB40,ABHD4_HUMAN,(Lyso)-N-acylphosphatidylethanolamine lipase,Protein
P78363,ABCA4_HUMAN,Retinal-specific phospholipid-transporting ATPase ABCA4,Protein
Q6H8Q1,ABLM2_HUMAN,Actin-binding LIM protein 2,Protein
P00519,ABL1_HUMAN,Tyrosine-protein kinase ABL1,Protein
Q8N0Z2,ABRA_HUMAN,Actin-binding Rho-activating protein,Protein
Q9P2A4,ABI3_HUMAN,ABI gene family member 3,Protein
Q8WTS1,ABHD5_HUMAN,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,Protein
Q969K4,ABTB1_HUMAN,Ankyrin repeat and BTB/POZ domain-containing protein 1,Protein
Q8WWZ7,ABCA5_HUMAN,Cholesterol transporter ABCA5,Protein
Q8N961,ABTB2_HUMAN,Ankyrin repeat and BTB/POZ domain-containing protein 2,Protein
O94929,ABLM3_HUMAN,Actin-binding LIM protein 3,Protein
Q15018,ABRX2_HUMAN,BRISC complex subunit Abraxas 2,Protein
A6QL63,ABTB3_HUMAN,Ankyrin repeat and BTB/POZ domain-containing protein 3,Protein
Q9P1F3,ABRAL_HUMAN,Costars family protein ABRACL,Protein
Q12979,ABR_HUMAN,Active breakpoint cluster region-related protein,Protein
P42684,ABL2_HUMAN,Tyrosine-protein kinase ABL2,Protein
Q6UWZ7,ABRX1_HUMAN,BRCA1-A complex subunit Abraxas 1,Protein
Q9ULW3,ABT1_HUMAN,Activator of basal transcription 1,Protein
P28330,ACADL_HUMAN,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
O00400,ACATN_HUMAN,Acetyl-coenzyme A transporter 1,Protein
Q8N6N7,ACBD7_HUMAN,Acyl-CoA-binding domain-containing protein 7,Protein
Q8NC06,ACBD4_HUMAN,Acyl-CoA-binding domain-containing protein 4,Protein
Q13085,ACACA_HUMAN,Acetyl-CoA carboxylase 1,Protein
P49748,ACADV_HUMAN,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
Q96GR2,ACBG1_HUMAN,Long-chain-fatty-acid--CoA ligase ACSBG1,Protein
Q5T8D3,ACBD5_HUMAN,Acyl-CoA-binding domain-containing protein 5,Protein
P07108,ACBP_HUMAN,Acyl-CoA-binding protein,Protein
Q5FVE4,ACBG2_HUMAN,Long-chain-fatty-acid--CoA ligase ACSBG2,Protein
O00763,ACACB_HUMAN,Acetyl-CoA carboxylase 2,Protein
Q9BR61,ACBD6_HUMAN,Acyl-CoA-binding domain-containing protein 6,Protein
Q15027,ACAP1_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",Protein
P11310,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
Q15057,ACAP2_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Protein
Q96P50,ACAP3_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",Protein
P16219,ACADS_HUMAN,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
Q9UKU7,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial",Protein
Q9H845,ACAD9_HUMAN,"Complex I assembly factor ACAD9, mitochondrial",Protein
Q6JQN1,ACD10_HUMAN,Acyl-CoA dehydrogenase family member 10,Protein
Q709F0,ACD11_HUMAN,Acyl-CoA dehydrogenase family member 11,Protein
P45954,ACDSB_HUMAN,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Protein
Q96AP0,ACD_HUMAN,Adrenocortical dysplasia protein homolog,Protein
Q9BYF1,ACE2_HUMAN,Angiotensin-converting enzyme 2,Protein
Q5QJU3,ACER2_HUMAN,Alkaline ceramidase 2,Protein
P22303,ACES_HUMAN,Acetylcholinesterase,Protein
Q9GZZ6,ACH10_HUMAN,Neuronal acetylcholine receptor subunit alpha-10,Protein
Q9NUN7,ACER3_HUMAN,Alkaline ceramidase 3,Protein
Q8TDN7,ACER1_HUMAN,Alkaline ceramidase 1,Protein
P30532,ACHA5_HUMAN,Neuronal acetylcholine receptor subunit alpha-5,Protein
P17787,ACHB2_HUMAN,Neuronal acetylcholine receptor subunit beta-2,Protein
P12821,ACE_HUMAN,Angiotensin-converting enzyme,Protein
Q15822,ACHA2_HUMAN,Neuronal acetylcholine receptor subunit alpha-2,Protein
Q15825,ACHA6_HUMAN,Neuronal acetylcholine receptor subunit alpha-6,Protein
Q05901,ACHB3_HUMAN,Neuronal acetylcholine receptor subunit beta-3,Protein
Q07001,ACHD_HUMAN,Acetylcholine receptor subunit delta,Protein
P02708,ACHA_HUMAN,Acetylcholine receptor subunit alpha,Protein
P32297,ACHA3_HUMAN,Neuronal acetylcholine receptor subunit alpha-3,Protein
P30926,ACHB4_HUMAN,Neuronal acetylcholine receptor subunit beta-4,Protein
P36544,ACHA7_HUMAN,Neuronal acetylcholine receptor subunit alpha-7,Protein
Q04844,ACHE_HUMAN,Acetylcholine receptor subunit epsilon,Protein
P43681,ACHA4_HUMAN,Neuronal acetylcholine receptor subunit alpha-4,Protein
P11230,ACHB_HUMAN,Acetylcholine receptor subunit beta,Protein
Q9UGM1,ACHA9_HUMAN,Neuronal acetylcholine receptor subunit alpha-9,Protein
Q9UKV3,ACINU_HUMAN,Apoptotic chromatin condensation inducer in the nucleus,Protein
P07510,ACHG_HUMAN,Acetylcholine receptor subunit gamma,Protein
Q07912,ACK1_HUMAN,Activated CDC42 kinase 1,Protein
O00590,ACKR2_HUMAN,Atypical chemokine receptor 2,Protein
P25106,ACKR3_HUMAN,Atypical chemokine receptor 3,Protein
Q6P4H8,ACKMT_HUMAN,ATP synthase subunit C lysine N-methyltransferase,Protein
O96019,ACL6A_HUMAN,Actin-like protein 6A,Protein
Q9NPB9,ACKR4_HUMAN,Atypical chemokine receptor 4,Protein
P20309,ACM3_HUMAN,Muscarinic acetylcholine receptor M3,Protein
P11229,ACM1_HUMAN,Muscarinic acetylcholine receptor M1,Protein
O94805,ACL6B_HUMAN,Actin-like protein 6B,Protein
Q5JWF8,ACL10_HUMAN,Actin-like protein 10,Protein
Q16570,ACKR1_HUMAN,Atypical chemokine receptor 1,Protein
Q8TDX5,ACMSD_HUMAN,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Protein
Q9Y615,ACL7A_HUMAN,Actin-like protein 7A,Protein
P08173,ACM4_HUMAN,Muscarinic acetylcholine receptor M4,Protein
P53396,ACLY_HUMAN,ATP-citrate synthase,Protein
P08912,ACM5_HUMAN,Muscarinic acetylcholine receptor M5,Protein
P21399,ACOHC_HUMAN,Cytoplasmic aconitate hydratase,Protein
P08172,ACM2_HUMAN,Muscarinic acetylcholine receptor M2,Protein
Q9Y614,ACL7B_HUMAN,Actin-like protein 7B,Protein
Q8WXI4,ACO11_HUMAN,Acyl-coenzyme A thioesterase 11,Protein
Q9NUZ1,ACOXL_HUMAN,Acyl-coenzyme A oxidase-like protein,Protein
Q99798,ACON_HUMAN,"Aconitate hydratase, mitochondrial",Protein
Q3I5F7,ACOT6_HUMAN,Acyl-coenzyme A thioesterase 6,Protein
Q6ZNF0,ACP7_HUMAN,Acid phosphatase type 7,Protein
Q99424,ACOX2_HUMAN,Peroxisomal acyl-coenzyme A oxidase 2,Protein
Q8WYK0,ACO12_HUMAN,Acetyl-coenzyme A thioesterase,Protein
O14734,ACOT8_HUMAN,Acyl-coenzyme A thioesterase 8,Protein
P13798,ACPH_HUMAN,Acylamino-acid-releasing enzyme,Protein
O15254,ACOX3_HUMAN,Peroxisomal acyl-coenzyme A oxidase 3,Protein
Q86TX2,ACOT1_HUMAN,Acyl-coenzyme A thioesterase 1,Protein
Q9NPJ3,ACO13_HUMAN,Acyl-coenzyme A thioesterase 13,Protein
Q9Y305,ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial",Protein
P49753,ACOT2_HUMAN,"Acyl-coenzyme A thioesterase 2, mitochondrial",Protein
Q8N9L9,ACOT4_HUMAN,Peroxisomal succinyl-coenzyme A thioesterase,Protein
Q15067,ACOX1_HUMAN,Peroxisomal acyl-coenzyme A oxidase 1,Protein
O14561,ACPM_HUMAN,"Acyl carrier protein, mitochondrial",Protein
Q8NEB7,ACRBP_HUMAN,Acrosin-binding protein,Protein
P10323,ACRO_HUMAN,Acrosin,Protein
Q9NR19,ACSA_HUMAN,"Acetyl-coenzyme A synthetase, cytoplasmic",Protein
Q08AH3,ACS2A_HUMAN,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",Protein
Q68CK6,ACS2B_HUMAN,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial",Protein
Q9NUB1,ACS2L_HUMAN,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",Protein
Q4L235,ACSF4_HUMAN,Beta-alanine-activating enzyme,Protein
Q96CM8,ACSF2_HUMAN,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",Protein
O95573,ACSL3_HUMAN,Fatty acid CoA ligase Acsl3,Protein
O60488,ACSL4_HUMAN,Long-chain-fatty-acid--CoA ligase 4,Protein
Q4G176,ACSF3_HUMAN,"Malonate--CoA ligase ACSF3, mitochondrial",Protein
P0C7M7,ACSM4_HUMAN,"Acyl-coenzyme A synthetase ACSM4, mitochondrial",Protein
P33121,ACSL1_HUMAN,Long-chain-fatty-acid--CoA ligase 1,Protein
Q6NUN0,ACSM5_HUMAN,"Acyl-coenzyme A synthetase ACSM5, mitochondrial",Protein
Q9ULC5,ACSL5_HUMAN,Long-chain-fatty-acid--CoA ligase 5,Protein
Q6P461,ACSM6_HUMAN,"Acyl-coenzyme A synthetase ACSM6, mitochondrial",Protein
Q9H6R3,ACSS3_HUMAN,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Protein
Q9UKU0,ACSL6_HUMAN,Long-chain-fatty-acid--CoA ligase 6,Protein
Q562R1,ACTBL_HUMAN,Beta-actin-like protein 2,Protein
Q08AH1,ACSM1_HUMAN,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",Protein
Q9BYX7,ACTBM_HUMAN,Putative beta-actin-like protein 3,Protein
P60709,ACTB_HUMAN,"Actin, cytoplasmic 1",Protein
P62736,ACTA_HUMAN,"Actin, aortic smooth muscle",Protein
P35609,ACTN2_HUMAN,Alpha-actinin-2,Protein
Q53FZ2,ACSM3_HUMAN,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",Protein
Q9H568,ACTL8_HUMAN,Actin-like protein 8,Protein
Q01718,ACTHR_HUMAN,Adrenocorticotropic hormone receptor,Protein
P68032,ACTC_HUMAN,"Actin, alpha cardiac muscle 1",Protein
Q8TC94,ACTL9_HUMAN,Actin-like protein 9,Protein
Q08043,ACTN3_HUMAN,Alpha-actinin-3,Protein
P63261,ACTG_HUMAN,"Actin, cytoplasmic 2",Protein
P12814,ACTN1_HUMAN,Alpha-actinin-1,Protein
Q5BKX5,ACTMP_HUMAN,Actin maturation protease,Protein
P63267,ACTH_HUMAN,"Actin, gamma-enteric smooth muscle",Protein
O43707,ACTN4_HUMAN,Alpha-actinin-4,Protein
Q8TDG2,ACTT1_HUMAN,Actin-related protein T1,Protein
P42025,ACTY_HUMAN,Beta-centractin,Protein
Q8TDY3,ACTT2_HUMAN,Actin-related protein T2,Protein
P61163,ACTZ_HUMAN,Alpha-centractin,Protein
Q9BYD9,ACTT3_HUMAN,Actin-related protein T3,Protein
P68133,ACTS_HUMAN,"Actin, alpha skeletal muscle",Protein
Q8NER5,ACV1C_HUMAN,Activin receptor type-1C,Protein
Q96HD9,ACY3_HUMAN,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming),Protein
P14621,ACYP2_HUMAN,Acylphosphatase-2,Protein
P36896,ACV1B_HUMAN,Activin receptor type-1B,Protein
Q03154,ACY1_HUMAN,Aminoacylase-1,Protein
P07311,ACYP1_HUMAN,Acylphosphatase-1,Protein
P37023,ACVL1_HUMAN,Serine/threonine-protein kinase receptor R3,Protein
P45381,ACY2_HUMAN,Aspartoacylase,Protein
O43184,ADA12_HUMAN,Disintegrin and metalloproteinase domain-containing protein 12,Protein
P35348,ADA1A_HUMAN,Alpha-1A adrenergic receptor,Protein
Q04771,ACVR1_HUMAN,Activin receptor type-1,Protein
