NodeType: Protein | FullName: Amino acid transporter heavy chain SLC3A1 | EntryName: SLC31_HUMAN | ProteinId: Q07837
NodeType: Protein | FullName: Nonsense-mediated mRNA decay factor SMG7 | EntryName: SMG7_HUMAN | ProteinId: Q92540
NodeType: Protein | FullName: Mothers against decapentaplegic homolog 3 | EntryName: SMAD3_HUMAN | ProteinId: P84022
NodeType: Protein | FullName: Nonsense-mediated mRNA decay factor SMG9 | EntryName: SMG9_HUMAN | ProteinId: Q9H0W8
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 | EntryName: SMCA5_HUMAN | ProteinId: O60264
NodeType: Protein | FullName: Serine/threonine-protein kinase SMG1 | EntryName: SMG1_HUMAN | ProteinId: Q96Q15
NodeType: Protein | FullName: Small nuclear ribonucleoprotein Sm D2 | EntryName: SMD2_HUMAN | ProteinId: P62316
NodeType: Protein | FullName: Small integral membrane protein 8 | EntryName: SMIM8_HUMAN | ProteinId: Q96KF7
NodeType: Protein | FullName: Small integral membrane protein 19 | EntryName: SMI19_HUMAN | ProteinId: Q96E16
NodeType: Protein | FullName: Small integral membrane protein 1 | EntryName: SMIM1_HUMAN | ProteinId: B2RUZ4
NodeType: Protein | FullName: Sperm microtubule inner protein 6 | EntryName: SMIP6_HUMAN | ProteinId: Q8NCR6
NodeType: Protein | FullName: Small integral membrane protein 9 | EntryName: SMIM9_HUMAN | ProteinId: A6NGZ8
NodeType: Protein | FullName: Small integral membrane protein 2 | EntryName: SMIM2_HUMAN | ProteinId: Q9BVW6
NodeType: Protein | FullName: Protein SPMIP1 | EntryName: SMIP1_HUMAN | ProteinId: A0A1B0GUX0
NodeType: Protein | FullName: Small integral membrane protein 3 | EntryName: SMIM3_HUMAN | ProteinId: Q9BZL3
NodeType: Protein | FullName: Nonsense-mediated mRNA decay factor SMG5 | EntryName: SMG5_HUMAN | ProteinId: Q9UPR3
NodeType: Protein | FullName: Protein SPMIP7 | EntryName: SMIP7_HUMAN | ProteinId: A4D263
NodeType: Protein | FullName: Protein SPMIP2 | EntryName: SMIP2_HUMAN | ProteinId: Q96LM5
NodeType: Protein | FullName: Small leucine-rich protein 1 | EntryName: SMLR1_HUMAN | ProteinId: H3BR10
NodeType: Protein | FullName: Small integral membrane protein 5 | EntryName: SMIM5_HUMAN | ProteinId: Q71RC9
NodeType: Protein | FullName: Protein SPMIP3 | EntryName: SMIP3_HUMAN | ProteinId: Q5SVJ3
NodeType: Protein | FullName: Small integral membrane protein 6 | EntryName: SMIM6_HUMAN | ProteinId: P0DI80
NodeType: Protein | FullName: Sperm microtubule inner protein 8 | EntryName: SMIP8_HUMAN | ProteinId: Q6URK8
NodeType: Protein | FullName: Spermine oxidase | EntryName: SMOX_HUMAN | ProteinId: Q9NWM0
NodeType: Protein | FullName: Small integral membrane protein 21 | EntryName: SMI21_HUMAN | ProteinId: Q3B7S5
NodeType: Protein | FullName: Small integral membrane protein 7 | EntryName: SMIM7_HUMAN | ProteinId: Q9BQ49
NodeType: Protein | FullName: Structural maintenance of chromosomes flexible hinge domain-containing protein 1 | EntryName: SMHD1_HUMAN | ProteinId: A6NHR9
NodeType: Protein | FullName: Small integral membrane protein 44 | EntryName: SMI44_HUMAN | ProteinId: A0A286YF18
NodeType: Protein | FullName: Sperm-associated microtubule inner protein 4 | EntryName: SMIP4_HUMAN | ProteinId: Q8N865
NodeType: Protein | FullName: Small integral membrane protein 45 | EntryName: SMI45_HUMAN | ProteinId: A0A590UK83
NodeType: Protein | FullName: Protein SPMIP9 | EntryName: SMIP9_HUMAN | ProteinId: Q96LM6
NodeType: Protein | FullName: SPARC-related modular calcium-binding protein 1 | EntryName: SMOC1_HUMAN | ProteinId: Q9H4F8
NodeType: Protein | FullName: Sperm-associated microtubule inner protein 10 | EntryName: SMI10_HUMAN | ProteinId: Q6ZNM6
NodeType: Protein | FullName: Sperm-associated microtubule inner protein 5 | EntryName: SMIP5_HUMAN | ProteinId: Q8WW14
NodeType: Protein | FullName: Small muscular protein | EntryName: SMPX_HUMAN | ProteinId: Q9UHP9
NodeType: Protein | FullName: Sperm microtubule inner protein 11 | EntryName: SMI11_HUMAN | ProteinId: A0A1B0GTD5
NodeType: Protein | FullName: Small lysine-rich protein 1 | EntryName: SMKR1_HUMAN | ProteinId: H3BMG3
NodeType: Protein | FullName: Submaxillary gland androgen-regulated protein 3A | EntryName: SMR3A_HUMAN | ProteinId: Q99954
NodeType: Protein | FullName: SPARC-related modular calcium-binding protein 2 | EntryName: SMOC2_HUMAN | ProteinId: Q9H3U7
NodeType: Protein | FullName: SWI/SNF complex subunit SMARCC1 | EntryName: SMRC1_HUMAN | ProteinId: Q92922
NodeType: Protein | FullName: Submaxillary gland androgen-regulated protein 3B | EntryName: SMR3B_HUMAN | ProteinId: P02814
NodeType: Protein | FullName: Phosphatidylcholine:ceramide cholinephosphotransferase 2 | EntryName: SMS2_HUMAN | ProteinId: Q8NHU3
NodeType: Protein | FullName: Protein smoothened | EntryName: SMO_HUMAN | ProteinId: Q99835
NodeType: Protein | FullName: Somatostatin | EntryName: SMS_HUMAN | ProteinId: P61278
NodeType: Protein | FullName: Phosphatidylcholine:ceramide cholinephosphotransferase 1 | EntryName: SMS1_HUMAN | ProteinId: Q86VZ5
NodeType: Protein | FullName: Survival motor neuron protein | EntryName: SMN_HUMAN | ProteinId: Q16637
NodeType: Protein | FullName: E3 ubiquitin-protein ligase SMURF2 | EntryName: SMUF2_HUMAN | ProteinId: Q9HAU4
NodeType: Protein | FullName: SWI/SNF complex subunit SMARCC2 | EntryName: SMRC2_HUMAN | ProteinId: Q8TAQ2
NodeType: Protein | FullName: Smoothelin-like protein 1 | EntryName: SMTL1_HUMAN | ProteinId: A8MU46
NodeType: Protein | FullName: Histone-lysine N-trimethyltransferase SMYD5 | EntryName: SMYD5_HUMAN | ProteinId: Q6GMV2
NodeType: Protein | FullName: WD40 repeat-containing protein SMU1 | EntryName: SMU1_HUMAN | ProteinId: Q2TAY7
NodeType: Protein | FullName: Smoothelin-like protein 2 | EntryName: SMTL2_HUMAN | ProteinId: Q2TAL5
NodeType: Protein | FullName: Histone-lysine N-methyltransferase SMYD1 | EntryName: SMYD1_HUMAN | ProteinId: Q8NB12
NodeType: Protein | FullName: Beta-soluble NSF attachment protein | EntryName: SNAB_HUMAN | ProteinId: Q9H115
NodeType: Protein | FullName: Single-strand selective monofunctional uracil DNA glycosylase | EntryName: SMUG1_HUMAN | ProteinId: Q53HV7
NodeType: Protein | FullName: Zinc finger protein SNAI3 | EntryName: SNAI3_HUMAN | ProteinId: Q3KNW1
NodeType: Protein | FullName: Smoothelin | EntryName: SMTN_HUMAN | ProteinId: P53814
NodeType: Protein | FullName: N-lysine methyltransferase SMYD2 | EntryName: SMYD2_HUMAN | ProteinId: Q9NRG4
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 | EntryName: SMRCD_HUMAN | ProteinId: Q9H4L7
NodeType: Protein | FullName: Schlafen family member 12-like | EntryName: SN12L_HUMAN | ProteinId: Q6IEE8
NodeType: Protein | FullName: E3 ubiquitin-protein ligase SMURF1 | EntryName: SMUF1_HUMAN | ProteinId: Q9HCE7
NodeType: Protein | FullName: Gamma-soluble NSF attachment protein | EntryName: SNAG_HUMAN | ProteinId: Q99747
NodeType: Protein | FullName: Alpha-soluble NSF attachment protein | EntryName: SNAA_HUMAN | ProteinId: P54920
NodeType: Protein | FullName: Histone-lysine N-methyltransferase SMYD3 | EntryName: SMYD3_HUMAN | ProteinId: Q9H7B4
NodeType: Protein | FullName: Serotonin N-acetyltransferase | EntryName: SNAT_HUMAN | ProteinId: Q16613
NodeType: Protein | FullName: Zinc finger protein SNAI1 | EntryName: SNAI1_HUMAN | ProteinId: O95863
NodeType: Protein | FullName: Sushi, nidogen and EGF-like domain-containing protein 1 | EntryName: SNED1_HUMAN | ProteinId: Q8TER0
NodeType: Protein | FullName: SET and MYND domain-containing protein 4 | EntryName: SMYD4_HUMAN | ProteinId: Q8IYR2
NodeType: Protein | FullName: Putative uncharacterized protein SNHG28 | EntryName: SNH28_HUMAN | ProteinId: P0DPA3
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 | EntryName: SMRD1_HUMAN | ProteinId: Q96GM5
NodeType: Protein | FullName: SNARE-associated protein Snapin | EntryName: SNAPN_HUMAN | ProteinId: O95295
NodeType: Protein | FullName: Synphilin-1 | EntryName: SNCAP_HUMAN | ProteinId: Q9Y6H5
NodeType: Protein | FullName: Synaptogyrin-1 | EntryName: SNG1_HUMAN | ProteinId: O43759
NodeType: Protein | FullName: Zinc finger protein SNAI2 | EntryName: SNAI2_HUMAN | ProteinId: O43623
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 | EntryName: SMRD2_HUMAN | ProteinId: Q92925
NodeType: Protein | FullName: Smad nuclear-interacting protein 1 | EntryName: SNIP1_HUMAN | ProteinId: Q8TAD8
NodeType: Protein | FullName: Putative synaptogyrin-2 like protein | EntryName: SNG2L_HUMAN | ProteinId: A8MWL6
NodeType: Protein | FullName: Protein SNORC | EntryName: SNORC_HUMAN | ProteinId: Q6UX34
NodeType: Protein | FullName: Uncharacterized protein encoded by SND1-IT1 | EntryName: SNIT1_HUMAN | ProteinId: Q9HBX3
NodeType: Protein | FullName: Synaptogyrin-2 | EntryName: SNG2_HUMAN | ProteinId: O43760
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 | EntryName: SMRD3_HUMAN | ProteinId: Q6STE5
NodeType: Protein | FullName: Vacuolar-sorting protein SNF8 | EntryName: SNF8_HUMAN | ProteinId: Q96H20
NodeType: Protein | FullName: Stannin | EntryName: SNN_HUMAN | ProteinId: O75324
NodeType: Protein | FullName: Staphylococcal nuclease domain-containing protein 1 | EntryName: SND1_HUMAN | ProteinId: Q7KZF4
NodeType: Protein | FullName: Synaptosomal-associated protein 23 | EntryName: SNP23_HUMAN | ProteinId: O00161
NodeType: Protein | FullName: Synaptogyrin-3 | EntryName: SNG3_HUMAN | ProteinId: O43761
NodeType: Protein | FullName: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 | EntryName: SNF5_HUMAN | ProteinId: Q12824
NodeType: Protein | FullName: snRNA-activating protein complex subunit 2 | EntryName: SNPC2_HUMAN | ProteinId: Q13487
NodeType: Protein | FullName: Synaptosomal-associated protein 29 | EntryName: SNP29_HUMAN | ProteinId: O95721
NodeType: Protein | FullName: Synaptogyrin-4 | EntryName: SNG4_HUMAN | ProteinId: O95473
NodeType: Protein | FullName: Syntaphilin | EntryName: SNPH_HUMAN | ProteinId: O15079
NodeType: Protein | FullName: snRNA-activating protein complex subunit 3 | EntryName: SNPC3_HUMAN | ProteinId: Q92966
NodeType: Protein | FullName: Putative uncharacterized protein SNHG12 | EntryName: SNH12_HUMAN | ProteinId: Q9BXW3
NodeType: Protein | FullName: U5 small nuclear ribonucleoprotein 40 kDa protein | EntryName: SNR40_HUMAN | ProteinId: Q96DI7
NodeType: Protein | FullName: Alpha-1-syntrophin | EntryName: SNTA1_HUMAN | ProteinId: Q13424
NodeType: Protein | FullName: Synaptosomal-associated protein 25 | EntryName: SNP25_HUMAN | ProteinId: P60880
NodeType: Protein | FullName: Putative SNURF-like protein | EntryName: SNUFL_HUMAN | ProteinId: B1AK76
NodeType: Protein | FullName: SNRPN upstream reading frame protein | EntryName: SNURF_HUMAN | ProteinId: Q9Y675
NodeType: Protein | FullName: Synaptosomal-associated protein 47 | EntryName: SNP47_HUMAN | ProteinId: Q5SQN1
NodeType: Protein | FullName: snRNA-activating protein complex subunit 4 | EntryName: SNPC4_HUMAN | ProteinId: Q5SXM2
NodeType: Protein | FullName: Sorting nexin-11 | EntryName: SNX11_HUMAN | ProteinId: Q9Y5W9
NodeType: Protein | FullName: U11/U12 small nuclear ribonucleoprotein 48 kDa protein | EntryName: SNR48_HUMAN | ProteinId: Q6IEG0
NodeType: Protein | FullName: Sentan | EntryName: SNTAN_HUMAN | ProteinId: A6NMZ2
NodeType: Protein | FullName: U11/U12 small nuclear ribonucleoprotein 25 kDa protein | EntryName: SNR25_HUMAN | ProteinId: Q9BV90
NodeType: Protein | FullName: snRNA-activating protein complex subunit 5 | EntryName: SNPC5_HUMAN | ProteinId: O75971
NodeType: Protein | FullName: Sorting nexin-12 | EntryName: SNX12_HUMAN | ProteinId: Q9UMY4
NodeType: Protein | FullName: U4/U6.U5 tri-snRNP-associated protein 1 | EntryName: SNUT1_HUMAN | ProteinId: O43290
NodeType: Protein | FullName: U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein | EntryName: SNR27_HUMAN | ProteinId: Q8WVK2
NodeType: Protein | FullName: Beta-1-syntrophin | EntryName: SNTB1_HUMAN | ProteinId: Q13884
NodeType: Protein | FullName: snRNA-activating protein complex subunit 1 | EntryName: SNPC1_HUMAN | ProteinId: Q16533
NodeType: Protein | FullName: SNF-related serine/threonine-protein kinase | EntryName: SNRK_HUMAN | ProteinId: Q9NRH2
NodeType: Protein | FullName: Sorting nexin-17 | EntryName: SNX17_HUMAN | ProteinId: Q15036
NodeType: Protein | FullName: Sorting nexin-20 | EntryName: SNX20_HUMAN | ProteinId: Q7Z614
NodeType: Protein | FullName: Sorting nexin-13 | EntryName: SNX13_HUMAN | ProteinId: Q9Y5W8
NodeType: Protein | FullName: Beta-2-syntrophin | EntryName: SNTB2_HUMAN | ProteinId: Q13425
NodeType: Protein | FullName: Sorting nexin-2 | EntryName: SNX2_HUMAN | ProteinId: O60749
NodeType: Protein | FullName: Sorting nexin-21 | EntryName: SNX21_HUMAN | ProteinId: Q969T3
NodeType: Protein | FullName: Gamma-1-syntrophin | EntryName: SNTG1_HUMAN | ProteinId: Q9NSN8
NodeType: Protein | FullName: Sorting nexin-4 | EntryName: SNX4_HUMAN | ProteinId: O95219
NodeType: Protein | FullName: SNW domain-containing protein 1 | EntryName: SNW1_HUMAN | ProteinId: Q13573
NodeType: Protein | FullName: Sorting nexin-14 | EntryName: SNX14_HUMAN | ProteinId: Q9Y5W7
NodeType: Protein | FullName: U1 small nuclear ribonucleoprotein A | EntryName: SNRPA_HUMAN | ProteinId: P09012
NodeType: Protein | FullName: Gamma-2-syntrophin | EntryName: SNTG2_HUMAN | ProteinId: Q9NY99
NodeType: Protein | FullName: Sorting nexin-22 | EntryName: SNX22_HUMAN | ProteinId: Q96L94
NodeType: Protein | FullName: Sorting nexin-18 | EntryName: SNX18_HUMAN | ProteinId: Q96RF0
NodeType: Protein | FullName: Sorting nexin-30 | EntryName: SNX30_HUMAN | ProteinId: Q5VWJ9
NodeType: Protein | FullName: Sorting nexin-24 | EntryName: SNX24_HUMAN | ProteinId: Q9Y343
NodeType: Protein | FullName: Sorting nexin-3 | EntryName: SNX3_HUMAN | ProteinId: O60493
NodeType: Protein | FullName: Sorting nexin-15 | EntryName: SNX15_HUMAN | ProteinId: Q9NRS6
NodeType: Protein | FullName: Sorting nexin-19 | EntryName: SNX19_HUMAN | ProteinId: Q92543
NodeType: Protein | FullName: Sorting nexin-10 | EntryName: SNX10_HUMAN | ProteinId: Q9Y5X0
NodeType: Protein | FullName: Sorting nexin-31 | EntryName: SNX31_HUMAN | ProteinId: Q8N9S9
NodeType: Protein | FullName: Sorting nexin-8 | EntryName: SNX8_HUMAN | ProteinId: Q9Y5X2
NodeType: Protein | FullName: Sorting nexin-25 | EntryName: SNX25_HUMAN | ProteinId: Q9H3E2
NodeType: Protein | FullName: Double-strand-break repair protein rad21 homolog | EntryName: RAD21_HUMAN | ProteinId: O60216
NodeType: Protein | FullName: E3 ubiquitin-protein ligase RAD18 | EntryName: RAD18_HUMAN | ProteinId: Q9NS91
NodeType: Protein | FullName: Small ribosomal subunit protein RACK1 | EntryName: RACK1_HUMAN | ProteinId: P63244
NodeType: Protein | FullName: Ras-related C3 botulinum toxin substrate 2 | EntryName: RAC2_HUMAN | ProteinId: P15153
NodeType: Protein | FullName: DNA repair protein RAD50 | EntryName: RAD50_HUMAN | ProteinId: Q92878
NodeType: Protein | FullName: Cell cycle checkpoint protein RAD17 | EntryName: RAD17_HUMAN | ProteinId: O75943
NodeType: Protein | FullName: Ras-related C3 botulinum toxin substrate 3 | EntryName: RAC3_HUMAN | ProteinId: P60763
NodeType: Protein | FullName: DNA repair protein RAD52 homolog | EntryName: RAD52_HUMAN | ProteinId: P43351
NodeType: Protein | FullName: Cell cycle checkpoint protein RAD1 | EntryName: RAD1_HUMAN | ProteinId: O60671
NodeType: Protein | FullName: DNA repair and recombination protein RAD54-like | EntryName: RAD54_HUMAN | ProteinId: Q92698
NodeType: Protein | FullName: Cell cycle checkpoint control protein RAD9A | EntryName: RAD9A_HUMAN | ProteinId: Q99638
NodeType: Protein | FullName: Cell cycle checkpoint control protein RAD9B | EntryName: RAD9B_HUMAN | ProteinId: Q6WBX8
NodeType: Protein | FullName: DNA repair protein RAD51 homolog 1 | EntryName: RAD51_HUMAN | ProteinId: Q06609
NodeType: Protein | FullName: Ras-associating and dilute domain-containing protein | EntryName: RADIL_HUMAN | ProteinId: Q96JH8
NodeType: Protein | FullName: GTP-binding protein RAD | EntryName: RAD_HUMAN | ProteinId: P55042
NodeType: Protein | FullName: V(D)J recombination-activating protein 2 | EntryName: RAG2_HUMAN | ProteinId: P55895
NodeType: Protein | FullName: Radixin | EntryName: RADI_HUMAN | ProteinId: P35241
NodeType: Protein | FullName: Advanced glycosylation end product-specific receptor | EntryName: RAGE_HUMAN | ProteinId: Q15109
NodeType: Protein | FullName: Retinoic acid-induced protein 3 | EntryName: RAI3_HUMAN | ProteinId: Q8NFJ5
NodeType: Protein | FullName: RNA guanine-N7 methyltransferase activating subunit | EntryName: RAMAC_HUMAN | ProteinId: Q9BTL3
NodeType: Protein | FullName: RNA-binding Raly-like protein | EntryName: RALYL_HUMAN | ProteinId: Q86SE5
NodeType: Protein | FullName: Ras-interacting protein 1 | EntryName: RAIN_HUMAN | ProteinId: Q5U651
NodeType: Protein | FullName: Rab proteins geranylgeranyltransferase component A 1 | EntryName: RAE1_HUMAN | ProteinId: P24386
NodeType: Protein | FullName: RAF proto-oncogene serine/threonine-protein kinase | EntryName: RAF1_HUMAN | ProteinId: P04049
NodeType: Protein | FullName: Replication termination factor 2 | EntryName: RTF2_HUMAN | ProteinId: Q9BY42
NodeType: Protein | FullName: Reticulon-1 | EntryName: RTN1_HUMAN | ProteinId: Q16799
NodeType: Protein | FullName: Retrotransposon Gag-like protein 4 | EntryName: RTL4_HUMAN | ProteinId: Q6ZR62
